answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-0.75,neutral,"#KRZH im falschen Film: Schonunglos weiten CVP, EVP, GLP, Grüne, SP, AL den Staat aus. Steuergeld soll Kinderbetreuung für alle bezahlen: Die staatliche Erziehungsmaschine soll Babys erfassen. Misstrauen gegenüber Privatem. Kinder kriegen erfordert immer weniger Verantwortung.",krzh falsch film schonunglos weit cvp evp glp grüne sp al staat steuergeld kinderbetreuung all bezahlen staatliche erziehungsmaschine babys erfassen misstrauen gegenüber privat kinder kriegen erfordern immer wenig verantwortung,"{'KRZH': 0.01, 'im': 0, 'falschen': 0.02, 'Film': 0.02, 'Schonunglos': 0, 'weiten': 0, 'CVP': 0.01, 'EVP': 0, 'GLP': 0.01, 'Grüne': 0, 'SP': 0.01, 'AL': 0.01, 'den': 0.03, 'Staat': 0.03, 'aus': 0, 'Steuergeld': 0.2, 'soll': 0, 'Kinderbetreuung': 1.0, 'für': 0.24, 'alle': 0.22, 'bezahlen': 0.47, 'Die': 0.03, 'staatliche': 0.03, 'Erziehungsmaschine': 0.04, 'Babys': 0, 'erfassen': 0, 'Misstrauen': 0, 'gegenüber': 0, 'Privatem': 0.05, 'Kinder': 0.03, 'kriegen': 0, 'erfordert': 0.05, 'immer': 0, 'weniger': 0, 'Verantwortung': 0.06}",neutral,"[0.7273543, 0.14888832, 0.123757444]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.8500000000000001,neutral,"Betreffend AHV müssen wir über Branchenlösungen mit flexiblen Rentenalter bis 70 reden. Die Pflästerchen, die heute in Bern verhandelt werden, reichen nur bis 2030. Wenn die Linke lieber die Mwst erhöht, müssen Bürgerliche fordern, dafür die direkte Bundessteuer abzuschaffen!",betreffen ahv müssen branchenlösungen flexibel rentenalter reden pflästerchen heute bern verhandeln reich link lieb mwst erhöhen müssen bürgerliche fordern dafür direkt bundessteuer abschaffen,,,,"{'Betreffend': 0, 'AHV': 0.08, 'müssen': 0.03, 'wir': 0, 'über': 0, 'Branchenlösungen': 0.25, 'mit': 0.49, 'flexiblen': 1.0, 'Rentenalter': 0.79, 'bis': 0.03, 'reden': 0, 'Die': 0.04, 'Pflästerchen': 0.13, 'die': 0.04, 'heute': 0.06, 'in': 0.03, 'Bern': 0.06, 'verhandelt': 0.06, 'werden': 0.04, 'reichen': 0, 'nur': 0.03, '2030.': 0, 'Wenn': 0, 'Linke': 0.05, 'lieber': 0, 'Mwst': 0.08, 'erhöht': 0, 'Bürgerliche': 0, 'fordern': 0.11, 'dafür': 0, 'direkte': 0.03, 'Bundessteuer': 0.09, 'abzuschaffen': 0.03}",positive,"[0.032278743, 0.005373213, 0.96234804]",,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.3333333333333333,negative,"Rentenalter, Dienstpflicht, häufige Rolle als Versorger statt Zeit mit Kindern verbringen zu können: Wenn zum «Jubiläum Frauenstimmrecht» über weitere Ungerechtigkeiten geklagt wird, müsste alles auf den Tisch. Gegenseitige Achtung statt Klage wäre eine vernünftige Alternative!",rentenalter dienstpflicht häufig rolle versorger statt zeit kindern verbringen jubiläum frauenstimmrecht weit ungerechtigkeiten klagen müsste tisch gegenseitige achtung statt klagen vernünftig alternative,,,,"{'Rentenalter': 0.45, 'Dienstpflicht': 0.7, 'häufige': 0.07, 'Rolle': 0.11, 'als': 0.08, 'Versorger': 0, 'statt': 0, 'Zeit': 0.03, 'mit': 0.02, 'Kindern': 0.02, 'verbringen': 0.02, 'zu': 0.02, 'können': 0.04, 'Wenn': 0, 'zum': 0.015, '«': 0, 'Jubiläum': 0, 'Frauenstimmrecht': 0, '»': 0, 'über': 0, 'weitere': 0, 'Ungerechtigkeiten': 0, 'geklagt': 0, 'wird': 0, 'müsste': 0, 'alles': 0, 'auf': 0, 'den': 0, 'Tisch': 0, 'Gegenseitige': 0, 'Achtung': 0, 'Klage': 0, 'wäre': 0, 'eine': 0, 'vernünftige': 0, 'Alternative': 0}",positive,"[0.0068271556, 0.009916614, 0.9832562]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.7999999999999999,neutral,"Bürgerrecht mit dem Stimm- und Wahlrecht gibt es heute zu einfach. Nötige Modifikationen: Doppelbürgschaften nicht zulassen (wer bei uns mitbestimmen will, soll nicht noch für ein anderes Land entscheiden) und Einbürgerungen auf Probe!",bürgerrecht stimm wahlrecht geben heute einfach nötig modifikationen doppelbürgschaften zulassen wer mitbestimmen land entscheiden einbürgerungen proben,,,,,,,"{'Bürgerrecht': 0, 'mit': 0.03, 'dem': 0.025, 'Stimm-': 0, 'und': 1.0, 'Wahlrecht': 0, 'gibt': 0, 'es': 0.03, 'heute': 0.02, 'zu': 0.03, 'einfach': 0, 'Nötige': 0.06, 'Modifikationen': 0.11, 'Doppelbürgschaften': 0.26, 'nicht': 0.16, 'zulassen': 0.34, 'wer': 0, 'bei': 0, 'uns': 0, 'mitbestimmen': 0, 'will': 0, 'soll': 0, 'noch': 0, 'für': 0.08, 'ein': 0, 'anderes': 0, 'Land': 0, 'entscheiden': 0.15, 'Einbürgerungen': 0.96, 'auf': 0.32, 'Probe': 0}",negative,"[0.10158574, 0.71370256, 0.18471166]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"Die Stadt Zürich fordert vom #KRZH das Stimm- und Wahlrecht für Ausländerinnen und Ausländer in Gemeinden. Meine Meinung: Wer abstimmt, soll sich örtlich verantwortlich und gebunden fühlen. Das zeigt man durch Einbürgerung. Leider geht das heute zu einfach!",stadt zürich fordern krzh stimm wahlrecht ausländerinnen ausländer gemeinden meinung wer abstimmen örtlich verantwortlich binden fühlen zeigen einbürgerung leider gehen heute einfach,,,,,,,"{'Die': 0.03, 'Stadt': 0.02, 'Zürich': 0, 'fordert': 0, 'vom': 0.025, 'KRZH': 0.02, 'das': 0.35, 'Stimm-': 0, 'und': 0.04, 'Wahlrecht': 0, 'für': 0.03, 'Ausländerinnen': 0, 'Ausländer': 0.04, 'in': 0.02, 'Gemeinden': 0.02, 'Meine': 0.01, 'Meinung': 0.03, 'Wer': 0.03, 'abstimmt': 0, 'soll': 0, 'sich': 0, 'örtlich': 0.07, 'verantwortlich': 0.04, 'gebunden': 0.06, 'fühlen': 0.05, 'Das': 0.03, 'zeigt': 0, 'man': 0, 'durch': 1.0, 'Einbürgerung': 1.0, 'Leider': 0.11, 'geht': 0, 'heute': 0.05, 'zu': 0, 'einfach': 0}",positive,"[0.16693795, 0.009587598, 0.8234744]",,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,neutral,Richter Allmächtig: Sie verstehen mehr als das Volk (Einbürgerungen) und mehr als die Energie-Kerntechsicherheitsingenieure vom ENSI. Amen.,richter allmächtig verstehen mehr volk einbürgerungen mehr energie kerntechsicherheitsingenieure ensi amen,,,,,,,"{'Richter': 0.03, 'Allmächtig': 0.04, 'Sie': 0, 'verstehen': 0.21, 'mehr': 0.04, 'als': 0, 'das': 0, 'Volk': 0.21, 'Einbürgerungen': 1.0, 'und': 0.17, 'die': 0.12, 'Energie-Kerntechsicherheitsingenieure': 0.03, 'vom': 0.12, 'ENSI': 0, 'Amen': 0.04}",neutral,"[0.57369494, 0.018994452, 0.4073106]",,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,Steuersenkung bedeutet: Alle Steuerzahler in ZH können mehr in der freien Wirtschaft ausgeben. Das zahlt sich für den Kanton mehr als aus!,steuersenkung bedeuten all steuerzahler zh mehr frei wirtschaft ausgeben zahlen kanton mehr,,,,,,,,,,"{'Steuersenkung': 0.84, 'bedeutet': 1.0, 'Alle': 0.11, 'Steuerzahler': 0, 'in': 0.09, 'ZH': 0.15, 'können': 0, 'mehr': 0.05, 'der': 0.07, 'freien': 0.14, 'Wirtschaft': 0, 'ausgeben': 0, 'Das': 0.07, 'zahlt': 0.11, 'sich': 0, 'für': 0.07, 'den': 0.07, 'Kanton': 0.12, 'als': 0, 'aus': 0}",positive,"[0.15929894, 0.33339876, 0.5073022]",,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@SVPwatch @SVPch Ihr werdet daran gemessen, ob ihr die Volksrechte für die Bilateralen opfert oder uns als Umweltschutz-Kollateralschaden wettbewerbsunfähig und arm macht. Ich wünsche den Menschen in unserem Land viel Glück beim 1-Themen-Blindflug, der jetzt startet. Happy Landing, Kamikaze.",daran messen volksrechte bilateral opfern umweltschutz kollateralschaden wettbewerbsunfähig arm wünsche menschen land glück beim themen blindflug starten happy landing kamikaze,,,,,,,,,,,,,"{'Ihr': 0, 'werdet': 0.05, 'daran': 0, 'gemessen': 0, 'ob': 0, 'ihr': 0, 'die': 0.05, 'Volksrechte': 0.03, 'für': 0.02, 'Bilateralen': 0, 'opfert': 0, 'oder': 0.04, 'uns': 0.03, 'als': 0.03, 'Umweltschutz-Kollateralschaden': 0.0475, 'wettbewerbsunfähig': 0.07, 'und': 0.04, 'arm': 0, 'macht': 0, 'Ich': 0.07, 'wünsche': 0, 'den': 0.05, 'Menschen': 0.05, 'in': 0.03, 'unserem': 0.03, 'Land': 0, 'viel': 0, 'Glück': 0, 'beim': 0.05, '1-Themen-Blindflug': 0.06, 'der': 0.05, 'jetzt': 0.07, 'startet': 0, 'Happy': 0.96, 'Landing': 0.53, 'Kamikaze': 0.69}",positive,"[0.08166772, 0.4308977, 0.48743454]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Jetzt wählen gegen den EU-Beitritt http://t.co/z3gceinLEV,wählen eu beitreten,,,,,,,,,,,,,,,,"{'Jetzt': 0.28, 'wählen': 0, 'gegen': 0.48, 'den': 0.51, 'EU-Beitritt': 1.0}",negative,"[0.33527684, 0.64671284, 0.018010251]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Wählen gegen den EU-Beitritt http://t.co/z3gceinLEV,wählen eu beitreten,,,,,,,,,,,,,,,,"{'Wählen': 0, 'gegen': 1.0, 'den': 0.11, 'EU-Beitritt': 0.53}",neutral,"[0.4983204, 0.47826377, 0.023415789]",,,,neutral
