answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"@Tomasz_Kowalczy CBD und THC sind schon ziemlich unterschiedliche Wirkstoffe. CBD ist eher mit einer Zigarette vergleichbar als mit Cannabis. Trotzdem erstaunlich, wie sich dieses bis jetzt im Markt gehalten hat.",cbd thc schon ziemlich unterschiedlich wirkstoffe cbd eher zigarette vergleichbar cannabis trotzdem erstaunlich markt halten,"{'CBD': 0.1, 'und': 0.03, 'THC': 0.04, 'sind': 0.02, 'schon': 0, 'ziemlich': 0, 'unterschiedliche': 0.05, 'Wirkstoffe': 0.025, 'ist': 0.02, 'eher': 0, 'mit': 0, 'einer': 0, 'Zigarette': 0.54, 'vergleichbar': 0, 'als': 0, 'Cannabis': 1.0, 'Trotzdem': 0, 'erstaunlich': 0, 'wie': 0.04, 'sich': 0, 'dieses': 0, 'bis': 0, 'jetzt': 0, 'im': 0, 'Markt': 0.02, 'gehalten': 0.05, 'hat': 0}",positive,"[0.39289466, 0.023845414, 0.58325994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Es gibt nur einen Weg, um weitere Schäden und Todesfälle durch gestrecktes Gras zu verhindern: Legalisierung. Wird ein legaler Markt für Cannabis aufgebaut, kann die Qualität kontrolliert und der Schwarzmarkt verhindert werden. #kiffenfürdieAHV

https://t.co/lOx5EUtuiO",geben weit schäden todesfälle gestreckt gras verhindern legalisierung legal markt cannabis aufbauen qualität kontrollieren schwarzmarkt verhindern kiffenfürdieahv,"{'Es': 0.35, 'gibt': 0, 'nur': 0.06, 'einen': 0.21, 'Weg': 0, 'um': 0.21, 'weitere': 0.07, 'Schäden': 0.12, 'und': 0.09, 'Todesfälle': 0, 'durch': 0, 'gestrecktes': 0.1, 'Gras': 0, 'zu': 0.05, 'verhindern': 0, 'Legalisierung': 0.35, 'Wird': 0, 'ein': 0.05, 'legaler': 0.38, 'Markt': 0.11, 'für': 0.61, 'Cannabis': 1.0, 'aufgebaut': 0, 'kann': 0.08, 'die': 0.11, 'Qualität': 0.33, 'kontrolliert': 0.1, 'der': 0.11, 'Schwarzmarkt': 0.10500000000000001, 'verhindert': 0.09, 'werden': 0, 'kiffenfürdieAHV': 0.36}",neutral,"[0.5640585, 0.031628247, 0.40431333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5666666666666667,neutral,"@redder66 @grunliberale ey @redder66 . Rentenalter 55 oder ein 5G Verbot sind halt nun auch Mal keine glp-Positionen. Genauso wenig wie 6-spurige Autobahnen oder das unsägliche Spiel von @RuediNoser bei der @konzern_vi.

Stimmfreigabe heisst auch: Beide passen uns nicht.",ey rentenalter g verbieten halt mal glp positionen genauso wenig spurige autobahnen unsägliche spiel stimmfreigabe heisst beid passen,,,,"{'ey': 0.22, 'Rentenalter': 0.435, 'oder': 0.1, 'ein': 0, 'G': 0, 'Verbot': 0.3, 'sind': 0.59, 'halt': 0, 'nun': 0, 'auch': 0.13, 'Mal': 0.12, 'keine': 0, 'glp-Positionen': 0.975, 'Genauso': 0.12, 'wenig': 0.1, 'wie': 0, '6-spurige': 0, 'Autobahnen': 0, 'das': 0, 'unsägliche': 0.14, 'Spiel': 0.07, 'von': 0, 'bei': 0.05, 'der': 0.04, 'Stimmfreigabe': 0, 'heisst': 0, 'Beide': 0.1, 'passen': 0, 'uns': 0.05, 'nicht': 0.08}",negative,"[0.25173414, 0.63396806, 0.11429777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@hans_denkt @watson_news @heleneob_ Also ist ein Ja nicht der Weltuntergang?

Es geht ja auch um die vielen KMUs, die sich im Gegensatz zu den grossen Konzernen einen Vaterschaftsurlaub nicht leisten können.",ja weltuntergang gehen ja kmus gegensatz grossen konzernen vaterschaftsurlaub leisten,,,,,,,"{'Also': 0.08, 'ist': 0, 'ein': 0, 'Ja': 0, 'nicht': 0, 'der': 0.15, 'Weltuntergang': 0.052500000000000005, 'Es': 0, 'geht': 0, 'ja': 0, 'auch': 0.08, 'um': 0.04, 'die': 0.15, 'vielen': 0.09, 'KMUs': 0.19, 'sich': 0, 'im': 0, 'Gegensatz': 0, 'zu': 0, 'den': 0.15, 'grossen': 0, 'Konzernen': 0.21, 'einen': 0.04, 'Vaterschaftsurlaub': 0.9550000000000001, 'leisten': 1.0, 'können': 0}",positive,"[0.2605712, 0.091578245, 0.6478505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,@WatchAbroad Vaterschaftsurlaub auch? 😱,vaterschaftsurlaub,,,,,,,"{'Vaterschaftsurlaub': 0.6000000000000001, 'auch': 0}",neutral,"[0.96691495, 0.01663497, 0.016450027]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,Egal wie man zu den Dividendenausschüttungen steht: Diese @Sunrise_de-Aussage ist schwer bedenklich. Vaterschaftsurlaub? CO2-Abgaben? Gleichstellung? Lassen wir uns bei Sunrise von der Politik nicht vorschreiben. Unternehmerische Freiheit geht immer vor. Danke @Tsueri_ch! https://t.co/KGNUStgYcC,egal dividendenausschüttungen stehen aussagen schwer bedenklich vaterschaftsurlaub co2 abgaben gleichstellung lassen sunrise politik vorschreiben unternehmerische freiheit gehen immer danke,,,,,,,"{'Egal': 0.02, 'wie': 0.04, 'man': 0, 'zu': 0, 'den': 0.05, 'Dividendenausschüttungen': 0, 'steht': 0, 'Diese': 0.18, '-Aussage': 0, 'ist': 0.15, 'schwer': 0, 'bedenklich': 0, 'Vaterschaftsurlaub': 0.41500000000000004, 'CO2-Abgaben': 0.045, 'Gleichstellung': 0.08, 'Lassen': 0.5, 'wir': 0, 'uns': 0, 'bei': 0.02, 'Sunrise': 0.02, 'von': 0, 'der': 0.05, 'Politik': 0, 'nicht': 0.02, 'vorschreiben': 0, 'Unternehmerische': 0.04, 'Freiheit': 0.07, 'geht': 0, 'immer': 0.03, 'vor': 0, 'Danke': 0.075}",negative,"[0.06338808, 0.88416606, 0.05244585]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,71.0,0.15,neutral,"@nprncbl @DorotheaBaur @ginsig @NZZ Deutschland setzt momentan auch auf Kohle. Wir sind in Europa nicht besser. Frühzeitig auf erneuerbare Energien zu setzen gibt unserer Wirtschaft aber einen Startvorsprung, der Wohlstand generiert (China hat im Übrigen immer noch einen weit geringeren pro Kopf Ausstoss wie wir).",deutschland setzen momentan kohle europa gut frühzeitig erneuerbare energien setzen geben wirtschaft startvorsprung wohlstand generieren china übrig immer weit gering pro kopf ausstoss,,,,,,,,,,"{'Deutschland': 0.12, 'setzt': 0, 'momentan': 0.105, 'auch': 0.06, 'auf': 0.29, 'Kohle': 0, 'Wir': 0.02, 'sind': 0.03, 'in': 0.03, 'Europa': 0.11, 'nicht': 0, 'besser': 0.04, 'Frühzeitig': 0.08, 'erneuerbare': 1.0, 'Energien': 1.0, 'zu': 0, 'setzen': 0, 'gibt': 0.03, 'unserer': 0.05, 'Wirtschaft': 0, 'aber': 0.19, 'einen': 0.03, 'Startvorsprung': 0.04, 'der': 0.02, 'Wohlstand': 0.11, 'generiert': 0, 'China': 0.13, 'hat': 0, 'im': 0, 'Übrigen': 0.02, 'immer': 0, 'noch': 0.02, 'weit': 0.02, 'geringeren': 0, 'pro': 0, 'Kopf': 0.03, 'Ausstoss': 0, 'wie': 0, 'wir': 0}",positive,"[0.22868155, 0.15796544, 0.613353]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5666666666666667,neutral,"@bartolomeuw7 @kkklawitter Gegen Roadpricing hätte ich nichts :) führt zum gleichen Resultat: Weniger Parkplatzbedarf, effizientere Nutzung des Strassenraumes.

Was war dann der Grund, dass du die Initiative ursprünglich unterstützt hast?",roadpricing führen gleich resultat wenig parkplatzbedarf effizient nutzung strassenraumes grund initiative ursprünglich unterstützen,,,,,,,,,,,,,"{'Gegen': 0, 'Roadpricing': 0, 'hätte': 0, 'ich': 0.05, 'nichts': 0.08, 'führt': 0, 'zum': 0.03, 'gleichen': 0.04, 'Resultat': 0, 'Weniger': 0, 'Parkplatzbedarf': 0.09, 'effizientere': 0.03, 'Nutzung': 0.04, 'des': 0, 'Strassenraumes': 0.06, 'Was': 0.01, 'war': 0, 'dann': 0.02, 'der': 0.03, 'Grund': 0, 'dass': 0.02, 'du': 0, 'die': 0.03, 'Initiative': 0.08, 'ursprünglich': 0, 'unterstützt': 0, 'hast': 0}",negative,"[0.28897643, 0.66032803, 0.05069556]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@MartinCJanssen Lesen Sie Mal das Buch von Taleb. Das erste Beispiel von Leuten ohne Skin in the game sind Manager von Konzernen. Typische, globale Marktwirtschaft.

Ein Beispiel beim Staat: M. Lauber. Wir finden bestimmt noch weitere.",lesen mal buch taleb erste beispiel leuten skin the game manager konzernen typische global marktwirtschaft beispiel beim staat m lauber finden bestimmen weit,,,,,,,,,,,,,,,,"{'Lesen': 0.09, 'Sie': 0, 'Mal': 0, 'das': 0, 'Buch': 0.05, 'von': 0.13, 'Taleb': 0.06, 'Das': 0.06, 'erste': 0.07, 'Beispiel': 0.34, 'Leuten': 0.06, 'ohne': 0.05, 'Skin': 0.03, 'in': 0.03, 'the': 0.06, 'game': 0.06, 'sind': 0.07, 'Manager': 0, 'Konzernen': 0, 'Typische': 1.0, 'globale': 0, 'Marktwirtschaft': 0.7050000000000001, 'Ein': 0.03, 'beim': 0.06, 'Staat': 0.09, 'M.': 0, 'Lauber': 0.06, 'Wir': 0.07, 'finden': 0.13, 'bestimmt': 0, 'noch': 0, 'weitere': 0}",positive,"[0.075946346, 0.0039017976, 0.9201519]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@MartinCJanssen ""Skin in the game"" ist keine Organisationsform. Es gibt in der freien Marktwirtschaft genauso auch das Gegenteil.

Evt. sprechen wir nicht von demselben. Oder Sie verdrehen der Quelle das Wort im Mund (meine mich zu erinnern, dass Sie dies auch bei Popper bereits getan hatten).",skin the game organisationsform geben frei marktwirtschaft genauso gegenteil evt sprechen verdrehen quelle wort mund erinnern popper bereits tun,,,,,,,,,,,,,,,,"{'Skin': 0.02, 'in': 0.02, 'the': 0.01, 'game': 0.09, 'ist': 0.02, 'keine': 0, 'Organisationsform': 0.03, 'Es': 0.02, 'gibt': 0, 'der': 0.01, 'freien': 1.0, 'Marktwirtschaft': 0.69, 'genauso': 0.01, 'auch': 0.04, 'das': 0.01, 'Gegenteil': 0.16, 'Evt': 0.03, 'sprechen': 0.02, 'wir': 0, 'nicht': 0.02, 'von': 0, 'demselben': 0.01, 'Oder': 0.02, 'Sie': 0, 'verdrehen': 0.03, 'Quelle': 0, 'Wort': 0, 'im': 0, 'Mund': 0, 'meine': 0, 'mich': 0, 'zu': 0, 'erinnern': 0, 'dass': 0.01, 'dies': 0, 'bei': 0, 'Popper': 0.08, 'bereits': 0.01, 'getan': 0, 'hatten': 0.02}",positive,"[0.007952151, 0.0029584013, 0.9890894]",,,,,,,,,,,,,,,,,,,neutral
