answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.7,negative,"@christofthinks @Tamarafuniciell Darf ich auch wünschen? Rentenalter 20, Studentenlohn, Keine Steuern, Gratis Pizza🎉",dürfen wünschen rentenalter studentenlohn steuern gratis pizza,"{'Darf': 0.23, 'ich': 0.08, 'auch': 0.24, 'wünschen': 0.82, 'Rentenalter': 0.665, 'Studentenlohn': 0, 'Keine': 0, 'Steuern': 0, 'Gratis': 0.46, 'Pizza': 0.18}",positive,"[0.016059125, 0.0020344707, 0.9819064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @MathysRoland: Macht bloss weiter mit Vaterschaftsurlaub, angedachten Flugverboten und dergleichen... https://t.co/bMpCRRbVrm",bloss weit vaterschaftsurlaub angedacht flugverboten dergleichen,,,,"{'Macht': 0, 'bloss': 0.65, 'weiter': 0, 'mit': 0.76, 'Vaterschaftsurlaub': 0.73, 'angedachten': 0, 'Flugverboten': 0, 'und': 0.16, 'dergleichen': 0.17, '...': 0}",neutral,"[0.78712755, 0.01649942, 0.19637308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Elternzeit anstatt Vaterschaftsurlaub! Damit die Familie und nicht der Staat entscheidet, wer und wie lange Urlaub für das Kind bezieht. https://t.co/lhs6F1E33a",elternzeit anstatt vaterschaftsurlaub familie staat entscheiden wer lang urlaub kind beziehen,,,,"{'Elternzeit': 0.15, 'anstatt': 0.86, 'Vaterschaftsurlaub': 0.255, 'Damit': 0, 'die': 0.03, 'Familie': 0.03, 'und': 0.06, 'nicht': 0.1, 'der': 0.03, 'Staat': 0.05, 'entscheidet': 0, 'wer': 0.06, 'wie': 0.05, 'lange': 0.06, 'Urlaub': 0, 'für': 0, 'das': 0.07, 'Kind': 0, 'bezieht': 0}",neutral,"[0.8454472, 0.08043987, 0.07411293]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@spschweiz 1/2  1. Lohngleichheit ist erfüllt
2. Elternzeit bin ich dabei, Familie entscheidet selbst, wieviel Urlaub wer bekommt.",lohngleichheit erfüllen elternzeit dabei familie entscheiden wieviel urlaub wer bekommen,,,,,,,"{'1.': 0, 'Lohngleichheit': 0.445, 'ist': 1.0, 'erfüllt': 0, '2.': 0, 'Elternzeit': 0.11, 'bin': 0, 'ich': 0.12, 'dabei': 0, 'Familie': 0.03, 'entscheidet': 0.32, 'selbst': 0, 'wieviel': 0.11, 'Urlaub': 0, 'wer': 0.06, 'bekommt': 0}",neutral,"[0.76460475, 0.16598828, 0.06940694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,RT @f_schaeffler: Der Staat verhindert den gesellschaftlichen Aufstieg. Einem Mindestlohnempfänger werden für jede Gehaltserhöhung 47 % abg…,staat verhindern gesellschaftlich aufsteigen mindestlohnempfänger jed gehaltserhöhung abg,,,,,,,,,,"{'Der': 0.11, 'Staat': 0.16, 'verhindert': 0, 'den': 0.11, 'gesellschaftlichen': 0.04, 'Aufstieg': 0, 'Einem': 0, 'Mindestlohnempfänger': 0.58, 'werden': 0, 'für': 0.16, 'jede': 0.84, 'Gehaltserhöhung': 0, 'abg': 0, '…': 0}",neutral,"[0.7780013, 0.1482779, 0.07372075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Schikanen-Suter diesmals mit einer Schikane für alle KMUs und Geschäfte, die im Moment mit dem Überleben kämpfen. Wird Zeit, dass ihr Mal einen Grundkurs Ökonomie besucht @suter_gabriela @spschweiz #Mindestlohnvernichtetarbeitsplätze",schikanen suter diesmals schikane all kmus geschäfte moment überleben kämpfen zeit mal grundkurs ökonomie besuchen mindestlohnvernichtetarbeitsplätze,,,,,,,,,,"{'Schikanen-Suter': 0, 'diesmals': 0.095, 'mit': 0.03, 'einer': 0, 'Schikane': 0.15, 'für': 0.06, 'alle': 0, 'KMUs': 0.08, 'und': 0.06, 'Geschäfte': 0, 'die': 0, 'im': 0, 'Moment': 0, 'dem': 0.09, 'Überleben': 0.06, 'kämpfen': 0, 'Wird': 0, 'Zeit': 0.15, 'dass': 0.06, 'ihr': 0, 'Mal': 0, 'einen': 0.13, 'Grundkurs': 0.275, 'Ökonomie': 0, 'besucht': 0, 'Mindestlohnvernichtetarbeitsplätze': 0.52}",neutral,"[0.8096248, 0.05939542, 0.13097987]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@MrShadowfly @Nuklearia @pmjrocks @Ale_chioc @narimoldi @ChrisDiethelm @FDP_Liberalen @AdiWilli @cwasi @phil_liberal @AlainS1991 @JehanMukawel @Patrick_Eugster Wir fordern ja nicht den sofortigen Bau von AKW‘s, sondern die Aufhebung des faktischen Forschungsverbot. Wenn sich effiziente Speichermethoden für die erneuerbaren Energien ökonomisch und physikalisch durchsetzten ist ja auch super!  Dagegen hat ja niemand was",fordern ja sofortig bau akw s aufhebung faktisch forschungsverbot effiziente speichermethoden erneuerbaren energien ökonomisch physikalisch durchsetzen ja super dagegen ja niemand,,,,,,,,,,,,,"{'Wir': 0.04, 'fordern': 0, 'ja': 0, 'nicht': 0.03, 'den': 0.05, 'sofortigen': 0, 'Bau': 0, 'von': 0, 'AKW': 0.03, '‘': 0, 's': 0, 'sondern': 0, 'die': 0, 'Aufhebung': 0, 'des': 0, 'faktischen': 0, 'Forschungsverbot': 0, 'Wenn': 0, 'sich': 0, 'effiziente': 0, 'Speichermethoden': 0, 'für': 0, 'erneuerbaren': 0, 'Energien': 0, 'ökonomisch': 0, 'und': 0, 'physikalisch': 0, 'durchsetzten': 0, 'ist': 0, 'auch': 0, 'super': 0, 'Dagegen': 0, 'hat': 0, 'niemand': 0, 'was': 0}",positive,"[0.13215864, 0.029467555, 0.8383739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"1.9 Milliarden Franken Staukosten, Tendenz steigend. Jetzt braucht es ENDLICH Massnahmen!
- Ausbau der A1 und weiteren verkehrsintensiven Strecken auf mind. 3 Spuren
- Doppelstöckige Autobahnen ernsthaft prüfen wo nötig 
- Anreize für Carsharing und Park and Ride schaffen",milliarden franken staukosten tendenz steigen brauchen endlich massnahmen ausbau a1 weit verkehrsintensiven strecken mind spuren doppelstöckige autobahnen ernsthaft prüfen nötigen anreize carsharing park and ride schaffen,,,,,,,,,,,,,,,,"{'1.9': 0, 'Milliarden': 0, 'Franken': 0, 'Staukosten': 0, 'Tendenz': 0, 'steigend': 0, 'Jetzt': 0.1, 'braucht': 0, 'es': 0.14, 'ENDLICH': 0.01, 'Massnahmen': 0, 'Ausbau': 0.2, 'der': 0.05, 'A1': 0.04, 'und': 0.02, 'weiteren': 0, 'verkehrsintensiven': 0, 'Strecken': 0, 'auf': 0, 'mind.': 0, 'Spuren': 0, 'Doppelstöckige': 0, 'Autobahnen': 0.03, 'ernsthaft': 0, 'prüfen': 0, 'wo': 0.03, 'nötig': 0.02, 'Anreize': 0.06, 'für': 0.02, 'Carsharing': 0, 'Park': 0.02, 'and': 0.02, 'Ride': 0.03, 'schaffen': 0.07}",negative,"[0.13901146, 0.7355412, 0.12544729]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@jonas_kampus Externalitäten und Internalisierung sind Begriffe der freien Marktwirtschaft (=Kapitalismus). Vlt. Mal einlesen bevor man was behauptet.,externalitäten internalisierung begreifen frei marktwirtschaft kapitalismus vlt mal einlesen bevor behaupten,,,,,,,,,,,,,,,,,,,"{'Externalitäten': 0.1, 'und': 0.04, 'Internalisierung': 0.11, 'sind': 0.04, 'Begriffe': 0.06, 'der': 0.14, 'freien': 1.0, 'Marktwirtschaft': 0.645, '(=': 0, 'Kapitalismus': 0.13, 'Vlt': 0.11, 'Mal': 0, 'einlesen': 0.045000000000000005, 'bevor': 0.02, 'man': 0, 'was': 0, 'behauptet': 0}",positive,"[0.09498341, 0.008362898, 0.8966537]",,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"@cedricwermuth @sacovo Welche Alternative haben Sie, wenn Sie die freie Marktwirtschaft, mit der Konkurrenz in den Märkten als Treiber der Innovation und somit als wichtigstes Gut gegen den Klimawandel, ablehnen??",welch alternative freie marktwirtschaft konkurrenz märkten treiber innovation somit wichtig gut klimawandel ablehnen,,,,,,,,,,,,,,,,,,,"{'Welche': 0, 'Alternative': 0.08, 'haben': 0.02, 'Sie': 0, 'wenn': 0.04, 'die': 0.03, 'freie': 1.0, 'Marktwirtschaft': 0.77, 'mit': 0.06, 'der': 0.03, 'Konkurrenz': 0, 'in': 0.04, 'den': 0.03, 'Märkten': 0.15, 'als': 0.02, 'Treiber': 0.05, 'Innovation': 0.09, 'und': 0.03, 'somit': 0, 'wichtigstes': 0.025, 'Gut': 0, 'gegen': 0.03, 'Klimawandel': 0.07500000000000001, 'ablehnen': 0}",positive,"[0.112075016, 0.041340977, 0.846584]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
