answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Sorgenthema Nummer 1 ist die #Altersvorsorge! Unsere Lösungsansätze wie die Koppelung des Rentenalters an die Lebenserwartu…,sorgenthema nummer altersvorsorge lösungsansätze koppelung rentenalters lebenserwartu,"{'Sorgenthema': 0.23, 'Nummer': 0.09, 'ist': 0.1, 'die': 0.32, 'Altersvorsorge': 0.19, 'Unsere': 0.15, 'Lösungsansätze': 0, 'wie': 0, 'Koppelung': 0, 'des': 0, 'Rentenalters': 0.6000000000000001, 'an': 0, 'Lebenserwartu': 0.26, '…': 0}",positive,"[0.32153547, 0.014852776, 0.66361177]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @rudolf_mohler: Man darf gegen ein höheres #Rentenalter sein. Aber man sollte sich selbst und anderen keine Ausreden à la Arbeitsmarkt v…,dürfen hoch rentenalter sollen ausreden à la arbeitsmarkt v,"{'Man': 0, 'darf': 0, 'gegen': 1.0, 'ein': 0.56, 'höheres': 0.5, 'Rentenalter': 0.765, 'sein': 0, 'Aber': 0.19, 'man': 0, 'sollte': 0, 'sich': 0, 'selbst': 0, 'und': 0, 'anderen': 0.04, 'keine': 0, 'Ausreden': 0.44, 'à': 0, 'la': 0.07, 'Arbeitsmarkt': 0.18, 'v': 0, '…': 0}",neutral,"[0.65046215, 0.11773888, 0.23179899]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: „Die Koppelung des Rentenalters an die Lebenserwartung trägt den ökonomischen Realitäten Rechnung.“ @LandoltMartin @Tamedia…,koppelung rentenalters lebenserwartung tragen ökonomisch realitäten rechnung,"{'„': 0, 'Die': 0, 'Koppelung': 0, 'des': 0, 'Rentenalters': 0, 'an': 0, 'die': 0, 'Lebenserwartung': 0, 'trägt': 0, 'den': 0, 'ökonomischen': 0, 'Realitäten': 0, 'Rechnung': 0, '“': 0, '…': 0}",positive,"[0.41837558, 0.008959745, 0.5726646]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: «Ob man das #Rentenalter bei 66 oder 67 Jahren festsetzt: Wichtig ist, dass mehr Flexibilisierungsmöglichkeiten geschaffen…",rentenalter jahren festsetzen wichtig mehr flexibilisierungsmöglichkeiten schaffen,"{'«': 0, 'Ob': 0, 'man': 0, 'das': 0, 'Rentenalter': 0, 'bei': 0, 'oder': 0, 'Jahren': 0, 'festsetzt': 0, 'Wichtig': 0, 'ist': 0, 'dass': 0, 'mehr': 0, 'Flexibilisierungsmöglichkeiten': 0, 'geschaffen': 0, '…': 0}",neutral,"[0.7626785, 0.02663787, 0.21068355]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Wenn ich lese, dass der @GewerkschaftSGB am Rentenalter festhalten will, bin ich alles andere als entspannt.
#STAF #abst19 https://t.co/g7wP50PlQN",lesen rentenalter festhalten entspannen staf abst19,"{'Wenn': 0.09, 'ich': 0.17, 'lese': 0.25, 'dass': 0.16, 'der': 0, 'am': 0, 'Rentenalter': 0.77, 'festhalten': 0.95, 'will': 0, 'bin': 0, 'alles': 0, 'andere': 0, 'als': 0, 'entspannt': 0.2, 'STAF': 0, 'abst19': 0.11}",positive,"[0.118477196, 0.005794644, 0.8757282]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Die einen so: «Wir müssen übers Rentenalter reden!»

Die anderen so: «Wir habe eine geniale Idee - die dynamische Anpassung des Rentenalters an die Lebenserwartung!»

Die BDP so:...Say no more.
#langweiligabergut https://t.co/GlIKUqWmRt",müssen übers rentenalter reden geniale idee dynamisch anpassung rentenalters lebenserwartung bdp say no more langweiligabergut,"{'Die': 0, 'einen': 0.05, 'so': 0, '«': 0, 'Wir': 0, 'müssen': 0, 'übers': 0, 'Rentenalter': 0, 'reden': 0, '»': 0, 'anderen': 0, 'habe': 0, 'eine': 0, 'geniale': 0, 'Idee': 0, 'die': 0, 'dynamische': 0, 'Anpassung': 0, 'des': 0, 'Rentenalters': 0, 'an': 0, 'Lebenserwartung': 0, 'BDP': 0, 'so:': 0, '...': 0, 'Say': 0, 'no': 0, 'more': 0, 'langweiligabergut': 0}",positive,"[0.16527835, 0.0056327763, 0.8290889]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,,,,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,RT @BDPSchweiz: .@BernhardGuhl setzt sich für eine bessere Integration von erneuerbaren Energien in unsere Stromnetze ein. Nur so kann die…,setzen gut integration erneuerbaren energien stromnetze,,,,,,,"{'setzt': 0, 'sich': 0, 'für': 0, 'eine': 0, 'bessere': 0.16, 'Integration': 0.21, 'von': 0, 'erneuerbaren': 0.17, 'Energien': 0.08, 'in': 0, 'unsere': 0.13, 'Stromnetze': 0.105, 'ein': 0, 'Nur': 0, 'so': 0, 'kann': 0, 'die': 0.23, '…': 0}",positive,"[0.0018270895, 0.0012321327, 0.9969408]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"Klare Sache für mich bei den kommenden Abstimmungen:

- BGI: Nein
- Papizeit: Ja
- Kampfflugzeuge: Ja

Unklar bzw. Entscheidungsfindung noch nicht abgeschlossen:

- Kinderabzug: tend. Nein
- Jagdgesetz: tend. Nein

#abst20",klaren sache kommend abstimmungen bgi nein papizeit ja kampfflugzeuge ja unklar bzw entscheidungsfindung abschließen kinderabzug tend nein jagdgesetz tend nein abst20,,,,,,,,,,"{'Klare': 0, 'Sache': 0, 'für': 0.03, 'mich': 0.03, 'bei': 0, 'den': 0.05, 'kommenden': 0, 'Abstimmungen': 0, 'BGI': 0.24, 'Nein': 0.02, 'Papizeit': 0, 'Ja': 0, 'Kampfflugzeuge': 0, 'Unklar': 0.045000000000000005, 'bzw.': 0, 'Entscheidungsfindung': 0.08499999999999999, 'noch': 0, 'nicht': 0.07, 'abgeschlossen': 0, 'Kinderabzug': 0.13, 'tend': 0.06, 'Jagdgesetz': 0.095, 'abst20': 0.12}",neutral,"[0.677341, 0.27371493, 0.04894411]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @hansi_voigt: Nach Covid wissen wir: Die Schweiz kann nicht Pandemie. Die Schweiz kann nicht Digitalisierung. Und die Schweiz wird Klima…,covid wissen schweiz pandemie schweiz digitalisierung schweiz klima,,,,,,,,,,,,,"{'Nach': 0, 'Covid': 0.08, 'wissen': 0.08, 'wir': 0, 'Die': 0, 'Schweiz': 0.11, 'kann': 0, 'nicht': 0, 'Pandemie': 0.12, 'Digitalisierung': 0, 'Und': 0.22, 'die': 0, 'wird': 0.31, 'Klima': 0.09, '…': 0}",negative,"[0.24888872, 0.61517465, 0.13593662]",,,,,,,neutral
