answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Die Kinderbetreuung und das Geld @tagblatt_ch https://t.co/CpR9oUR9JO SVP-KR Zbinden spricht von mehr Transparenz und ""Licht ins Dunkel bringen"". Ausgerechnet er, der so vehement gegen das #Öffentlichkeitsprinzip im #Thurgau ist! Habe mich fast an meinem Espresso verschluckt 😀",kinderbetreuung geld svp kr zbinden sprechen mehr transparenz licht dunkeln bringen ausrechnen vehement öffentlichkeitsprinzip thurgau fast espresso verschlucken,"{'Die': 0.03, 'Kinderbetreuung': 0, 'und': 0.07, 'das': 0, 'Geld': 0.38, 'SVP-KR': 0, 'Zbinden': 0, 'spricht': 0.73, 'von': 0, 'mehr': 0.34, 'Transparenz': 0.45, 'Licht': 0.04, 'ins': 0, 'Dunkel': 0.05, 'bringen': 0, 'Ausgerechnet': 0.04, 'er': 0.05, 'der': 0.03, 'so': 0.07, 'vehement': 0, 'gegen': 0.22, 'Öffentlichkeitsprinzip': 0.07, 'im': 0, 'Thurgau': 0.04, 'ist': 0.05, 'Habe': 0, 'mich': 0, 'fast': 0, 'an': 0, 'meinem': 0.06, 'Espresso': 0.08, 'verschluckt': 0}",positive,"[0.008894513, 0.028086962, 0.96301854]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Wir freuen uns, dass der Bundesrat grünes Licht für Cannabis-Pilotversuche gegeben hat - ein positiver Schritt. Unsere Fo…",freuen bundesrat grün licht cannabis pilotversuche geben positiv schritt fo,,,,"{'Wir': 0.06, 'freuen': 0, 'uns': 0, 'dass': 0.12, 'der': 0.04, 'Bundesrat': 0.05, 'grünes': 0.04, 'Licht': 0.05, 'für': 0.06, 'Cannabis-Pilotversuche': 0.08, 'gegeben': 0.07, 'hat': 0, 'ein': 0, 'positiver': 0.24, 'Schritt': 0.17, 'Unsere': 0.65, 'Fo': 1.0, '…': 0}",positive,"[0.011090179, 0.004227126, 0.9846827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Freizeit-Konsum – Versuche mit Cannabis sollen rechtliche Grundlage erhalten via @srfnews

https://t.co/V1x73UVUIX Erste Schritte in die richtige Richtung",freizeit konsum versuche cannabis sollen rechtliche grundlage erhalten via erste schritte richtige richtung,,,,"{'Freizeit-Konsum': 0.3, '–': 0, 'Versuche': 0, 'mit': 0, 'Cannabis': 0, 'sollen': 0, 'rechtliche': 0, 'Grundlage': 0, 'erhalten': 0, 'via': 0, 'Erste': 0, 'Schritte': 0, 'in': 0, 'die': 0, 'richtige': 0, 'Richtung': 0}",neutral,"[0.8875712, 0.01592526, 0.096503474]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,negative,Durch Legalisierung die Jugend besser schützen https://t.co/GUN2ay0et6 Ganz meine Meinung. Die Kriminalisierung von #Hanf bringt gar nichts. Den Jugendschutz kann man gleich handhaben wie bei Alkohol und Zigaretten. #Thurgau #Cannabis,legalisierung jugend gut schützen ganz meinung kriminalisierung hanf bringen gar jugendschutz gleichen handhaben alkohol zigaretten thurgau cannabis,,,,"{'Durch': 0.05, 'Legalisierung': 0.07, 'die': 0.03, 'Jugend': 0.06, 'besser': 0.05, 'schützen': 0.06, 'Ganz': 0, 'meine': 0.02, 'Meinung': 0.04, 'Die': 0.03, 'Kriminalisierung': 0.09, 'von': 0, 'Hanf': 0.1, 'bringt': 0, 'gar': 0, 'nichts': 0, 'Den': 0.03, 'Jugendschutz': 0.07500000000000001, 'kann': 0.06, 'man': 0, 'gleich': 0.07, 'handhaben': 0, 'wie': 0, 'bei': 0, 'Alkohol': 0.1, 'und': 0.07, 'Zigaretten': 0.14, 'Thurgau': 0.88, 'Cannabis': 1.0}",neutral,"[0.8168047, 0.06772931, 0.115466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,positive,"Pilotversuche mit Cannabis: TGer Regierung geht etwas entspannter mit Thema Cannabis um.  Vor 2 Jahren Zeit hetzte man noch ein Polizeiaufgebot auf eine Cannabis-Farm im #Thurgau, wo aber nur medizinischer Hanf angebaut wird. Tja, Hanf kann entspannen :-) https://t.co/43gTxsE8QA",pilotversuche cannabis tger regierung gehen entspannt thema cannabis jahren zeit hetzen polizeiaufgebot cannabis farm thurgau medizinisch hanf anbauen tja hanf entspannen,,,,"{'Pilotversuche': 0.1, 'mit': 0.08, 'Cannabis': 0.2, 'TGer': 0, 'Regierung': 0.15, 'geht': 0, 'etwas': 0, 'entspannter': 0.47000000000000003, 'Thema': 0, 'um': 0.06, 'Vor': 0.05, 'Jahren': 0.08, 'Zeit': 0, 'hetzte': 0, 'man': 0, 'noch': 0, 'ein': 0, 'Polizeiaufgebot': 0.16, 'auf': 0, 'eine': 0, 'Cannabis-Farm': 0, 'im': 0, 'Thurgau': 0.21, 'wo': 0.14, 'aber': 0, 'nur': 0.16, 'medizinischer': 0.05, 'Hanf': 0.87, 'angebaut': 0, 'wird': 0, 'Tja': 0, 'kann': 0.82, 'entspannen': 1.0}",positive,"[0.16116504, 0.008588033, 0.8302469]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,57.0,-0.075,neutral,Cannabis: Der Bund prescht vor https://t.co/7a3DrRdtf6 Thurgauer Nationalräte Christian Lohr und Verena Herzog: bitte aufschliessen zur heutigen Zeit und nicht in der Vergangenheit stehen bleiben! #Thurgau #liberal Deregulierung bei Zugang zu medizinischem Cannabis dringend nötig,cannabis bund preschen thurgauer nationalräte christian lohr verena herziehen bitte aufschliessen heutig zeit vergangenheit stehen bleiben thurgau liberal deregulierung zugang medizinisch cannabis dringen nötigen,,,,"{'Cannabis': 0.06, 'Der': 0.01, 'Bund': 0, 'prescht': 0, 'vor': 0, 'Thurgauer': 0.04, 'Nationalräte': 0.05, 'Christian': 0.06, 'Lohr': 0.05, 'und': 0.03, 'Verena': 0.04, 'Herzog': 0.04, 'bitte': 0, 'aufschliessen': 0.04, 'zur': 0.01, 'heutigen': 0, 'Zeit': 0.02, 'nicht': 0, 'in': 0.05, 'der': 0.01, 'Vergangenheit': 0.02, 'stehen': 0, 'bleiben': 0, 'Thurgau': 0.04, 'liberal': 0.04, 'Deregulierung': 0.03, 'bei': 0.01, 'Zugang': 0.03, 'zu': 0.01, 'medizinischem': 0.02, 'dringend': 0.05, 'nötig': 0}",neutral,"[0.8931818, 0.05473347, 0.052084796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Der Zeitpunkt der Pensionierung soll flexibilisiert  und das Rentenalter für die Geschlechter angeglichen werden. Um die Generationengerechtigkeit zu sichern, ist eine Schuldenbremse bei der Altersvorsorge eine Notwendigkeit. #EsistZeit #WahlenCH19 @grunliberale @glpTG https://t.co/9aIbezLFr5",zeitpunkt pensionierung flexibilisiert rentenalter geschlechter angleichen generationengerechtigkeit sichern schuldenbremse altersvorsorge notwendigkeit esistzeit wahlench19,,,,,,,"{'Der': 0.03, 'Zeitpunkt': 0, 'der': 0.03, 'Pensionierung': 0.05, 'soll': 0, 'flexibilisiert': 0.0225, 'und': 0.02, 'das': 0, 'Rentenalter': 0.05, 'für': 0.02, 'die': 0.03, 'Geschlechter': 0, 'angeglichen': 0.03, 'werden': 0, 'Um': 0, 'Generationengerechtigkeit': 0, 'zu': 0.03, 'sichern': 0.03, 'ist': 0.05, 'eine': 0, 'Schuldenbremse': 0.06, 'bei': 0, 'Altersvorsorge': 0.055, 'Notwendigkeit': 0, 'EsistZeit': 0.34, 'WahlenCH19': 1.0}",positive,"[0.20658101, 0.033390075, 0.7600289]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,#glp #Thurgau fasst 1-stimmig die JA-Parole zum #Vaterschaftsurlaub @glpTG @grunliberale,glp thurgau fasst stimmig ja parole vaterschaftsurlaub,,,,,,,,,,"{'glp': 0.15, 'Thurgau': 0.16, 'fasst': 0, '1-stimmig': 0, 'die': 0.12, 'JA-Parole': 0, 'zum': 0.12, 'Vaterschaftsurlaub': 0.9}",positive,"[0.0024469916, 0.0029954202, 0.9945576]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,Peinliche Diskussion im #Grossrat #Thurgau über ein Einbürgerungsgesuch. Hetzjagd von #SVP und #EDU kann man auch sagen. Wir haben nächstes Jahr Gelegenheit die Mehrheiten in diesem Parlament zu ändern #EsistZeit #WahlenTG20,peinliche diskussion grossrat thurgau einbürgerungsgesuch hetzjagd svp edu sagen nächst jahr gelegenheit mehrheiten parlament ändern esistzeit wahlentg20,,,,,,,,,,,,,"{'Peinliche': 0.09, 'Diskussion': 0.11, 'im': 0, 'Grossrat': 0, 'Thurgau': 0.09, 'über': 0, 'ein': 0, 'Einbürgerungsgesuch': 1.0, 'Hetzjagd': 0, 'von': 0, 'SVP': 0, 'und': 0.03, 'EDU': 0.06, 'kann': 0.02, 'man': 0, 'auch': 0.02, 'sagen': 0.01, 'Wir': 0.02, 'haben': 0.01, 'nächstes': 0.01, 'Jahr': 0.04, 'Gelegenheit': 0.02, 'die': 0.02, 'Mehrheiten': 0.05, 'in': 0.02, 'diesem': 0.02, 'Parlament': 0.05, 'zu': 0.01, 'ändern': 0.030000000000000002, 'EsistZeit': 0.05, 'WahlenTG20': 0}",neutral,"[0.92357457, 0.055810943, 0.02061443]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"#Grossrat #Thurgau beschliesst das schweizweit schärfste Einbürgerungsgesetz. Wir haben es abgelehnt, weil wir die Regelung von Sprachniveau-Anforderungen im Gesetz nicht wollen! #glp",grossrat thurgau beschliesst schweizweit scharf einbürgerungsgesetz ablehnen regelung sprachniveau anforderungen gesetz glp,,,,,,,,,,,,,"{'Grossrat': 0, 'Thurgau': 0.15, 'beschliesst': 0, 'das': 0, 'schweizweit': 0.1, 'schärfste': 0, 'Einbürgerungsgesetz': 0.65, 'Wir': 0.02, 'haben': 0, 'es': 0, 'abgelehnt': 0, 'weil': 0.05, 'wir': 0, 'die': 0.04, 'Regelung': 0.05, 'von': 0, 'Sprachniveau-Anforderungen': 0.0425, 'im': 0, 'Gesetz': 0.07, 'nicht': 0.03, 'wollen': 0.03, 'glp': 0.05}",positive,"[0.102922946, 0.4260075, 0.47106957]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
