answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@ChristinaBRoth Frage: Müssten dann die Familien, welche die Kinderbetreuung selbst übernehmen, nicht auch in demselben Ausmass finanziell unterstützt werden?

Ansonsten wird ein Familienmodell klar benachteiligt.",fragen müssten familien welch kinderbetreuung übernehmen ausmass finanziell unterstützen ansonsten familienmodell klaren benachteiligen,"{'Frage': 0, 'Müssten': 0, 'dann': 0, 'die': 0.06, 'Familien': 0, 'welche': 0, 'Kinderbetreuung': 0, 'selbst': 0, 'übernehmen': 0.03, 'nicht': 0, 'auch': 0, 'in': 0, 'demselben': 0.09, 'Ausmass': 0, 'finanziell': 0, 'unterstützt': 0, 'werden': 0, 'Ansonsten': 0.41, 'wird': 0, 'ein': 0, 'Familienmodell': 0.41000000000000003, 'klar': 0, 'benachteiligt': 1.0}",negative,"[0.1916942, 0.75867224, 0.04963351]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Emotionale Debatte zum Kinderbetreuungs-Gesetz, so emotional, dass heute wohl kaum noch Entscheide (ausser Eintreten) gefällt werden #GRAG",emotionale debatte kinderbetreuungs gesetz emotional heute wohl kaum entscheide ausser eintreten gefallen grag,"{'Emotionale': 0.19, 'Debatte': 0.2, 'zum': 0.2, 'Kinderbetreuungs-Gesetz': 1.0, 'so': 0.15, 'emotional': 0.19, 'dass': 0.09, 'heute': 0.04, 'wohl': 0, 'kaum': 0, 'noch': 0, 'Entscheide': 0, 'ausser': 0.02, 'Eintreten': 0, 'gefällt': 0, 'werden': 0, 'GRAG': 0.07}",negative,"[0.07340313, 0.88004136, 0.046555515]",,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.4333333333333333,negative,"Schade, dass eine Mehrheit des #GRAG dem Souverän nur ein süss-saures Päckli (mit Vermischung Pauschalabzugserhöhung und Gewinnsteuersenkungen) vorlegen will ... 
Eine weitere unschöne Vermengung, die die Glaubwürdigkeit der Politik schwächt :(",schaden mehrheit grag souverän süss sauer päckli vermischung pauschalabzugserhöhung gewinnsteuersenkungen vorlegen weit unschön vermengung glaubwürdigkeit politik schwächen,,,,"{'Schade': 0, 'dass': 0.29, 'eine': 0, 'Mehrheit': 0.05, 'des': 0, 'GRAG': 0.04, 'dem': 0.045, 'Souverän': 0.08, 'nur': 0.04, 'ein': 0, 'süss-saures': 0.07500000000000001, 'Päckli': 0, 'mit': 0.09, 'Vermischung': 0, 'Pauschalabzugserhöhung': 0.035, 'und': 0.09, 'Gewinnsteuersenkungen': 0.06, 'vorlegen': 0, 'will': 0, '...': 0, 'Eine': 0, 'weitere': 0, 'unschöne': 0, 'Vermengung': 0, 'die': 0.06, 'Glaubwürdigkeit': 0.12, 'der': 0.06, 'Politik': 0, 'schwächt': 0.39}",negative,"[0.07267343, 0.60072047, 0.32660615]",,,,,,,,,,,,,negative
75.0,75.0,71.0,0.2333333333333333,negative,"@philipp_kaestli @sacovo @AargauerZeitung Natürlich, da stimme ich dir voll und ganz zu - definitiv werde ich mich nicht für Steuersenkungen einsetzen. Auch ich hätte Ideen, wie wir ""überschüssiges"" Geld gut einsetzen könnten - aber die Millionärssteuer ist m.M. der falsche Weg.",natürlich stimme voll ganz definitiv steuersenkungen einsetzen ideen überschüssiges geld gut einsetzen millionärssteuer m m falsch,,,,"{'Natürlich': 0, 'da': 0, 'stimme': 0, 'ich': 0.04, 'dir': 0.09, 'voll': 0, 'und': 0, 'ganz': 0, 'zu': 0, 'definitiv': 0, 'werde': 0, 'mich': 0, 'nicht': 1.0, 'für': 0, 'Steuersenkungen': 0.43500000000000005, 'einsetzen': 0, 'Auch': 0, 'hätte': 0, 'Ideen': 0.08, 'wie': 0.06, 'wir': 0, 'überschüssiges': 0.07, 'Geld': 0.03, 'gut': 0, 'könnten': 0.03, 'aber': 0.1, 'die': 0.04, 'Millionärssteuer': 0.06, 'ist': 0.05, 'm.M.': 0, 'der': 0.04, 'falsche': 0.19, 'Weg': 0}",negative,"[0.0055977385, 0.9815891, 0.012813205]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@VivianeHoesli @TheDudeLebovski stimmt, finanzierbar, wenn man dafür überall sonst spart. Sparpaket kommt nicht NUR wegen Steuersenkungen!",stimmen finanzierbar dafür überall sparen sparpaket kommen wegen steuersenkungen,,,,"{'stimmt': 0, 'finanzierbar': 0.09, 'wenn': 0.06, 'man': 0, 'dafür': 0, 'überall': 0, 'sonst': 0, 'spart': 0, 'Sparpaket': 0.39, 'kommt': 0, 'nicht': 0.15, 'NUR': 0.23, 'wegen': 0, 'Steuersenkungen': 0.51}",positive,"[0.0008348923, 0.0012320924, 0.99793303]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@philipp_kaestli @xHascox 2. Die Forderung nach Kapitalismus oder Sozialismus ist antidemokratisch. Jene nach mehr ""sozial"" oder ""Markt"" in einer soz. Marktwirtschaft hingegen sehr wohl demokratisch.",forderung kapitalismus sozialismus antidemokratisch jen mehr sozial markt soz marktwirtschaft hingegen wohl demokratisch,,,,,,,"{'2.': 0, 'Die': 0.04, 'Forderung': 0, 'nach': 0.08, 'Kapitalismus': 0.11, 'oder': 0.06, 'Sozialismus': 0.13, 'ist': 0.02, 'antidemokratisch': 0, 'Jene': 0.04, 'mehr': 0.09, 'sozial': 1.0, 'Markt': 1.0, 'in': 0.19, 'einer': 0, 'soz': 0, 'Marktwirtschaft': 0.755, 'hingegen': 0, 'sehr': 0.08, 'wohl': 0, 'demokratisch': 0}",positive,"[0.3908267, 0.08140542, 0.52776784]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@philipp_kaestli @xHascox Daraus folgen drei weitere Erkenntnisse:
1. Wir leben weder in einem kapit. oder komm. System, sondern einer soz. Marktwirtschaft (kap. Grundsystem mit starken Eingriffsrechten der dem. Gesellschaft / umgekehrt funktioniert schwierig demokratisch).",daraus folgen drei weit erkenntnisse leben weder kapit komm system soz marktwirtschaft kap grundsystem stark eingriffsrechten gesellschaft umkehren funktionieren schwierig demokratisch,,,,,,,"{'Daraus': 0, 'folgen': 0, 'drei': 0.35, 'weitere': 0.1, 'Erkenntnisse': 0, '1.': 0, 'Wir': 0.1, 'leben': 0, 'weder': 0, 'in': 0.03, 'einem': 0, 'kapit': 0, 'oder': 0.07, 'komm': 0.06, 'System': 0.03, 'sondern': 0.18, 'einer': 0, 'soz': 0, 'Marktwirtschaft': 0.08499999999999999, 'kap': 0, 'Grundsystem': 0.03, 'mit': 0.02, 'starken': 0, 'Eingriffsrechten': 0.015, 'der': 0.02, 'dem': 0.035, 'Gesellschaft': 0.02, 'umgekehrt': 0.01, 'funktioniert': 0, 'schwierig': 0.02, 'demokratisch': 0.04}",positive,"[0.15587342, 0.032770388, 0.8113561]",,,,,,,,,,positive
100.0,100.0,100.0,0.7625,neutral,"@philipp_kaestli @xHascox Kein Widerspruch. Aber Kern meiner Behauptung ist, dass die Systeme Sozialismus und Kapitalismus in ihrer Reinform wesentlich weniger demokratische Entscheidungsfreiheit lassen als die soziale Marktwirtschaft. Daher ist es logisch, dass Demokratien diese bevorzugen.",widerspruch kern behauptung systeme sozialismus kapitalismus reinform wesentlich wenig demokratische entscheidungsfreiheit lassen soziale marktwirtschaft daher logisch demokratien bevorzugen,,,,,,,"{'Kein': 0.01, 'Widerspruch': 0.04, 'Aber': 0.02, 'Kern': 0, 'meiner': 0, 'Behauptung': 0, 'ist': 0.01, 'dass': 0.02, 'die': 0.29, 'Systeme': 0.06, 'Sozialismus': 0.11, 'und': 0.02, 'Kapitalismus': 0.13, 'in': 0.01, 'ihrer': 0.025, 'Reinform': 0, 'wesentlich': 0, 'weniger': 0, 'demokratische': 0.16, 'Entscheidungsfreiheit': 0.0875, 'lassen': 0.05, 'als': 0, 'soziale': 1.0, 'Marktwirtschaft': 0.685, 'Daher': 0, 'es': 0.01, 'logisch': 0.04, 'Demokratien': 0.16, 'diese': 0.03, 'bevorzugen': 0.03}",neutral,"[0.5644897, 0.042531095, 0.39297917]",,,,,,,,,,positive
100.0,100.0,100.0,0.7749999999999999,neutral,"@philipp_kaestli @xHascox Denke, dass die soziale Marktwirtschaft (die ständig zwischen sozial und Markt um ihre Ausrichtung ringt) die demokratietauglichste Variante ist. Hirngespingsten von reinem Kapitalismus oder Sozialismus fehlt dieses Ringen, und damit eine demokratische Grundessenz.",denken soziale marktwirtschaft ständig sozial markt ausrichtung ringen demokratietauglichste variante hirngespingsten rein kapitalismus sozialismus fehlen ringen demokratische grundessenz,,,,,,,"{'Denke': 1.0, 'dass': 0.86, 'die': 0.07, 'soziale': 0.03, 'Marktwirtschaft': 0.125, 'ständig': 0, 'zwischen': 0.05, 'sozial': 0.03, 'und': 0.03, 'Markt': 0.03, 'um': 0.02, 'ihre': 0, 'Ausrichtung': 0, 'ringt': 0, 'demokratietauglichste': 0, 'Variante': 0.15, 'ist': 0.23, 'Hirngespingsten': 0.08, 'von': 0, 'reinem': 0.03, 'Kapitalismus': 0.04, 'oder': 0.07, 'Sozialismus': 0.05, 'fehlt': 0.23, 'dieses': 0.05, 'Ringen': 0.07, 'damit': 0, 'eine': 0, 'demokratische': 0.05, 'Grundessenz': 0.035}",positive,"[0.11820047, 0.05833267, 0.8234669]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@Titus_Meier Im Bezug auf die Digitalisierung und die damit stark veränderten Geschäfts- und Erlösmodelle?,bezug digitalisierung stark verändern geschäfts erlösmodelle,,,,,,,,,,"{'Im': 0, 'Bezug': 0, 'auf': 0, 'die': 0.26, 'Digitalisierung': 0, 'und': 0.14, 'damit': 0.13, 'stark': 0, 'veränderten': 0, 'Geschäfts-': 0.07, 'Erlösmodelle': 0.14500000000000002}",neutral,"[0.93777883, 0.011750463, 0.050470755]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @PH_Weekly: New Peer Comment

by @urielseibert 
""Perspektiven für OER bei zunehmender Digitalisierung klassischer Geschichtslehrmittel""…",new peer comment by perspektiven oer zunehmend digitalisierung klassisch geschichtslehrmittel,,,,,,,,,,"{'New': 0.11, 'Peer': 0.07, 'Comment': 0.14, 'by': 0.09, 'Perspektiven': 0.16, 'für': 0.14, 'OER': 0.22, 'bei': 0, 'zunehmender': 1.0, 'Digitalisierung': 0, 'klassischer': 0.22, 'Geschichtslehrmittel': 0.1675, '…': 0}",positive,"[0.052392382, 0.09714906, 0.85045856]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Steuergesetz im #GRAG oder das grosse Krötenschlucken aufgrund des interkantonalen Steuerwettbewerbs.
(Meine Kröte sind Abzüge von 150% für Forschung und Entwicklung -&gt; Weiterbildungskosten von Privatpersonen können auch nur zu 100% abgezogen werden)",steuergesetz grag grosse krötenschlucken aufgrund interkantonalen steuerwettbewerbs kröte abzüge forschung entwicklung gt weiterbildungskosten privatpersonen abziehen,,,,,,,,,,,,,"{'Steuergesetz': 0.035, 'im': 0, 'GRAG': 0.02, 'oder': 0.05, 'das': 0, 'grosse': 0, 'Krötenschlucken': 0.18000000000000002, 'aufgrund': 0.17, 'des': 0, 'interkantonalen': 0.02, 'Steuerwettbewerbs': 0.035, 'Meine': 0.43, 'Kröte': 0.34, 'sind': 1.0, 'Abzüge': 0, 'von': 0, 'für': 0.05, 'Forschung': 0.04, 'und': 0.03, 'Entwicklung': 0.02, '-&gt': 0, 'Weiterbildungskosten': 0.065, 'Privatpersonen': 0.025, 'können': 0.04, 'auch': 0, 'nur': 0.1, 'zu': 0.05, 'abgezogen': 0.08, 'werden': 0}",negative,"[0.3325958, 0.62100375, 0.046400473]",,,,positive
100.0,100.0,100.0,0.9,negative,"@VivianeHoesli richtig, das zeigt doch, dass das heutige System bereits recht gut die Löcher im Netz der Sozialen Wohlfahrt stopft! 1/2",richtig zeigen heutige system bereits recht gut löcher netz sozial wohlfahrt stopfen,,,,,,,,,,,,,,,,"{'richtig': 0, 'das': 0.06, 'zeigt': 0, 'doch': 0, 'dass': 0.06, 'heutige': 0, 'System': 0.09, 'bereits': 0.07, 'recht': 0, 'gut': 0, 'die': 0.06, 'Löcher': 0.11, 'im': 0, 'Netz': 0.12, 'der': 0.06, 'Sozialen': 0.07, 'Wohlfahrt': 0.09, 'stopft': 0}",positive,"[0.017010449, 0.003571192, 0.9794184]",positive
