answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3418,absa_sentiment_3418,absa_scores_3418,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Mittlerweilen machen die Gesundheitskosten (KK-Prämien, Selbstbehalt, Franchise ...) beinahe 2 Monatsgehälter bei einer fünfköpfigen Familie aus ..  So kann es nicht weitergehen! https://t.co/BEUcyZkcdY",mittlerweilen gesundheitskosten kk prämien selbstbehalt franchise beinahe monatsgehälter fünfköpfigen familie weitergehen,"{'Mittlerweilen': 0, 'machen': 0, 'die': 1.0, 'Gesundheitskosten': 0.9, 'KK-Prämien': 0.12, 'Selbstbehalt': 0, 'Franchise': 0.11, '...': 0, 'beinahe': 0, 'Monatsgehälter': 0, 'bei': 0, 'einer': 0, 'fünfköpfigen': 0, 'Familie': 0.06, 'aus': 0, '..': 0, 'So': 0, 'kann': 0.38, 'es': 0, 'nicht': 0, 'weitergehen': 0.06}",positive,"[0.23670113, 0.3236427, 0.4396561]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Noch kann Graubünden Nein sagen zu einem unfairen und unsolidarischen Finanzausgleich - http://t.co/hAKt1FwfKC http://t.co/ovXUGqCBOY,graubünden nein sagen unfair unsolidarischen finanzausgleich,,,,"{'Noch': 0, 'kann': 0.12, 'Graubünden': 0, 'Nein': 0.18, 'sagen': 0.165, 'zu': 0.2, 'einem': 0, 'unfairen': 1.0, 'und': 0, 'unsolidarischen': 0, 'Finanzausgleich': 0.62}",negative,"[0.00239952, 0.9742955, 0.023304999]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @DigitalDavos: Heute in einem Monat 24.09.2020 @DigitalDavos #SmartCities #Digitalisierung #Smartcitizen 🥁🎬🎤freier Eintritt an allen 🥇🥈🥉…,heute monat smartcities digitalisierung smartcitizen freier eintreten,,,,,,,"{'Heute': 0.05, 'in': 0.03, 'einem': 0.03, 'Monat': 0.04, '24.09.2020': 0, 'SmartCities': 0.66, 'Digitalisierung': 1.0, 'Smartcitizen': 0.21, '🥁': 0, 'freier': 0, 'Eintritt': 0, 'an': 0, 'allen': 0, '🥇': 0, '🥈': 0, '🥉': 0, '…': 0}",positive,"[0.061868407, 0.005928653, 0.93220294]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Mein Thema - unser Projekt! Herzlichen Dank an #Cisco für die wunderbare Kooperation mit der Volksschule #Davos und #grono Bin sehr gespannt auf neue Themen, Inputs und Austausch #Digitalisierung #Bildung @CensiSamuele @DigitalDavos @GarifYalak @Cisco_CH https://t.co/JbeFnWBHvF",thema projekt herzlich danken cisco wunderbare kooperation volksschule davos grono spannen neue themen inputs austausch digitalisierung bildung,,,,,,,"{'Mein': 0.02, 'Thema': 0, 'unser': 0.02, 'Projekt': 0.04, 'Herzlichen': 0, 'Dank': 0.03, 'an': 0, 'Cisco': 0.04, 'für': 0.02, 'die': 0.04, 'wunderbare': 0.1, 'Kooperation': 0.06, 'mit': 0.03, 'der': 0.04, 'Volksschule': 0.04, 'Davos': 0.06, 'und': 0.21, 'grono': 0, 'Bin': 0, 'sehr': 0.1, 'gespannt': 0.44, 'auf': 0, 'neue': 0.12, 'Themen': 0, 'Inputs': 0.16, 'Austausch': 0, 'Digitalisierung': 1.0, 'Bildung': 0.41}",positive,"[0.020670518, 0.0030289826, 0.9763005]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MediendienstGR: 🎯Regierungsprogramm 2021 bis 2024:  Im Vordergrund stehen die Digitalisierung und die Innovation, der Green Deal sowie…",regierungsprogramm vordergrund stehen digitalisierung innovation green deal sowie,,,,,,,"{'Regierungsprogramm': 0.14500000000000002, 'bis': 0, 'Im': 0, 'Vordergrund': 0, 'stehen': 0, 'die': 0.21, 'Digitalisierung': 0, 'und': 0.8, 'Innovation': 0.14, 'der': 0.21, 'Green': 0.16, 'Deal': 0.2, 'sowie': 0, '…': 0}",positive,"[0.005040091, 0.002112796, 0.99284714]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.925,neutral,"Ich freue mich, dass Davos einen neuen internationalen Kongress im Bereich Digitalisierung gewinnen konnte! Der Kooperationsvertrag konnte in einer feierlichen Zeremonie direkt im Anschluss des 1. Kongresses unterschrieben werden. Bis im nächsten Jahr! WDEO",freuen davos neu international kongress bereich digitalisierung gewinnen kooperationsvertrag feierlich zeremonie direkt anschluss kongresses unterschreiben nächst jahr wdeo,,,,,,,"{'Ich': 0.03, 'freue': 0.02, 'mich': 0, 'dass': 0.04, 'Davos': 0.1, 'einen': 0.02, 'neuen': 0.02, 'internationalen': 0.04, 'Kongress': 0.06, 'im': 0, 'Bereich': 0, 'Digitalisierung': 0, 'gewinnen': 0.025, 'konnte': 0.02, 'Der': 0.03, 'Kooperationsvertrag': 0.065, 'in': 0.02, 'einer': 0, 'feierlichen': 0.04, 'Zeremonie': 0.04, 'direkt': 0, 'Anschluss': 0, 'des': 0, '1.': 0, 'Kongresses': 0.06, 'unterschrieben': 0.04, 'werden': 0, 'Bis': 0.02, 'nächsten': 0.03, 'Jahr': 0.07, 'WDEO': 1.0}",positive,"[0.01347622, 0.002752025, 0.98377174]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Digitale Transformation  - wie sieht unsere Zukunft aus? Danke für den Blog! #Digitalisierungsoffensive starten #Graubünden #davosdigitalforum https://t.co/Zs6YEW6GHO,digitale transformation sehen zukunft danke blog digitalisierungsoffensive starten graubünden davosdigitalforum,,,,,,,"{'Digitale': 0.05, 'Transformation': 0.08, 'wie': 0, 'sieht': 0, 'unsere': 0.03, 'Zukunft': 0.06, 'aus': 0, 'Danke': 0, 'für': 0.04, 'den': 0.07, 'Blog': 0.07, 'Digitalisierungsoffensive': 0.69, 'starten': 1.0, 'Graubünden': 0, 'davosdigitalforum': 0.27}",positive,"[0.1872967, 0.023347914, 0.78935546]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#SVP Regierungsratskandidat #WalterSchlegel: #Digitalisierung in der #Bildung: der Kanton muss eine #Führungsrolle übernehmen!
https://t.co/SN9CFhV9oK https://t.co/ZuLnqIE4g6",svp regierungsratskandidat walterschlegel digitalisierung bildung kanton führungsrolle übernehmen,,,,,,,"{'SVP': 0, 'Regierungsratskandidat': 0.0775, 'WalterSchlegel': 0, 'Digitalisierung': 0, 'in': 0.36, 'der': 0.09, 'Bildung': 0.16, 'Kanton': 0.08, 'muss': 0, 'eine': 0, 'Führungsrolle': 0.08, 'übernehmen': 0.05}",neutral,"[0.48728117, 0.037997805, 0.474721]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Super gmacht! 👍Heute Empfang und Ehrung der 2 *3. RS Klassen der Oberstufe Davos mit Klassenlehrpersonen und Schulleitungen  für ihr Engagement  Umweltschutz (Projekt Davoser Schüler gegen Plastikmüll). Mit... https://t.co/9weFRwgCdN,super gmacht heute empfang ehrung rs klassen oberstufe davos klassenlehrpersonen schulleitungen engagement umweltschutz projekt davoser schüler plastikmüll,,,,,,,,,,"{'Super': 0, 'gmacht': 0, 'Heute': 0.03, 'Empfang': 0.02, 'und': 0.08, 'Ehrung': 0, 'der': 0.03, '3.': 0, 'RS': 0.02, 'Klassen': 0.04, 'Oberstufe': 0.04, 'Davos': 0.04, 'mit': 0.15, 'Klassenlehrpersonen': 0.045, 'Schulleitungen': 0.08499999999999999, 'für': 0.38, 'ihr': 0, 'Engagement': 0, 'Umweltschutz': 0.715, 'Projekt': 0.1, 'Davoser': 0, 'Schüler': 0, 'gegen': 0.26, 'Plastikmüll': 0, 'Mit': 0.15, '...': 0}",positive,"[0.002226646, 0.0013385689, 0.9964348]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ja zur SBI, denn «Das Schweizervolk wird eine Schwächung des
Arbeitsgesetzes und des Tier- und Umweltschutzes
niemals gutheissen.» VALÉRIE FAVRE ACCOLA https://t.co/t8QYEuKnlQ",ja sbi schweizervolk schwächung arbeitsgesetzes tier umweltschutzes niemals gutheissen valérie favre accola,,,,,,,,,,"{'Ja': 0.24, 'zur': 0.05, 'SBI': 0.04, 'denn': 0, '«': 0, 'Das': 0, 'Schweizervolk': 0, 'wird': 0, 'eine': 0, 'Schwächung': 0, 'des': 0, 'Arbeitsgesetzes': 0, 'und': 0, 'Tier-': 0, 'Umweltschutzes': 0, 'niemals': 0, 'gutheissen': 0, '»': 0, 'VALÉRIE': 0, 'FAVRE': 0, 'ACCOLA': 0}",positive,"[0.26416534, 0.21099946, 0.52483517]",,,,,,,,,,,,,positive
