answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"RT @kathrin_puhan: Ein grosser Schritt zu einer besseren Vereinbarkeit - in der Schweiz, in Zürich: Coworking mit KinderbetreuungTadah: cow…",grosser schritt gut vereinbarkeit schweiz zürich coworking kinderbetreuungtadah cow,"{'Ein': 0.05, 'grosser': 0, 'Schritt': 0.12, 'zu': 0, 'einer': 0, 'besseren': 0.05, 'Vereinbarkeit': 0.03, 'in': 0.05, 'der': 0, 'Schweiz': 0.03, 'Zürich': 0, 'Coworking': 0.92, 'mit': 1.0, 'KinderbetreuungTadah': 0, 'cow': 0.18, '…': 0}",positive,"[0.073494814, 0.004934684, 0.9215705]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Wichtige Diskussion! In unserer Familie übernehmen beide, mein Partner &amp; ich Verantwortung wenn es um die Kinderbetreuung geht. Deswegen haben wir beide einen Job mit Impact &amp; ein ausgefülltes Familienleben. #diversitymeansbusiness https://t.co/JKBUYuYUI2",wichtig diskussion familie übernehmen beid partner amp verantwortung kinderbetreuung gehen deswegen beid job impact amp ausgefüllt familienleben diversitymeansbusiness,"{'Wichtige': 0.03, 'Diskussion': 0.03, 'In': 0.03, 'unserer': 0.02, 'Familie': 0.07, 'übernehmen': 0.04, 'beide': 0.02, 'mein': 0.01, 'Partner': 0.05, 'amp': 0.11, 'ich': 0.04, 'Verantwortung': 0.15, 'wenn': 0, 'es': 0, 'um': 0.02, 'die': 0, 'Kinderbetreuung': 1.0, 'geht': 0, 'Deswegen': 0, 'haben': 0.165, 'wir': 0, 'einen': 0.02, 'Job': 0, 'mit': 0.03, 'Impact': 0.06, 'ein': 0, 'ausgefülltes': 0, 'Familienleben': 0.10500000000000001, 'diversitymeansbusiness': 0.18}",positive,"[0.318605, 0.016747585, 0.6646474]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @digitalfest_ch: Good news! Wir kümmern uns beim #DiFe17 auch um die jüngsten Digital Natives und bieten kostenlose Kinderbetreuung an 🤓…,good news kümmern beim dife17 jung digital nativ bieten kostenlos kinderbetreuung,"{'Good': 0.02, 'news': 0.07, 'Wir': 0.03, 'kümmern': 0.0525, 'uns': 0, 'beim': 0.035, 'DiFe17': 0.05, 'auch': 0.05, 'um': 0, 'die': 0.05, 'jüngsten': 0.06, 'Digital': 0.06, 'Natives': 0.05, 'und': 0.11, 'bieten': 0.26, 'kostenlose': 1.0, 'Kinderbetreuung': 1.0, 'an': 0, '🤓': 0, '…': 0}",positive,"[0.000928562, 0.0008987846, 0.99817264]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Die Schweiz kämpft um 2 Wochen Vaterschaftsurlaub, die Franzosen verdoppeln ihn ab 2021 auf 4 Wochen &amp; bei @ginettateam gibts schon seit 4 Jahren 8 Wochen vollbezahlten Vaterschaftsurlaub🤩 Und hoffentlich bald 10... https://t.co/4fmli0Y6Eb",schweiz kämpfen wochen vaterschaftsurlaub franzosen verdoppeln ab wochen amp gibts schon seit jahren wochen vollbezahlten vaterschaftsurlaub hoffentlich bald,,,,"{'Die': 0.08, 'Schweiz': 0.54, 'kämpft': 0, 'um': 0, 'Wochen': 0.09, 'Vaterschaftsurlaub': 0.51, 'die': 0.08, 'Franzosen': 0.14, 'verdoppeln': 0.09, 'ihn': 0, 'ab': 0, 'auf': 0, 'amp': 0.09, 'bei': 0, 'gibts': 0, 'schon': 0, 'seit': 0, 'Jahren': 0.12, 'vollbezahlten': 0.10500000000000001, '🤩': 0, 'Und': 0, 'hoffentlich': 0, 'bald': 0, '...': 0}",negative,"[0.35814297, 0.5768151, 0.06504193]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @alliance_F: Künftig werden Vätern in 🇨🇭10 Tage #Vaterschaftsurlaub gewährt: Das ist ein wichtiger Schritt für alle Väter und für die Gl…,künftig vätern tage vaterschaftsurlaub währen wichtig schritt all väter gl,,,,"{'Künftig': 0.12, 'werden': 0.14, 'Vätern': 0.06, 'in': 0.2, '🇨': 0, '🇭': 0, 'Tage': 0, 'Vaterschaftsurlaub': 0, 'gewährt': 0, 'Das': 0, 'ist': 0, 'ein': 0, 'wichtiger': 0, 'Schritt': 0, 'für': 0, 'alle': 0, 'Väter': 0, 'und': 0, 'die': 0, 'Gl': 0, '…': 0}",positive,"[0.111858085, 0.015626315, 0.8725156]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @comboeuf: Lese @blickamabend als Velopendler zwar selten. Diese #Vaterschaftsurlaub Kolumne bringts aufn Punkt aber so was von https://…,lesen velopendler selten vaterschaftsurlaub kolumne bringts aufn punkt,,,,"{'Lese': 0.19, 'als': 0.05, 'Velopendler': 0, 'zwar': 0, 'selten': 0, 'Diese': 0.52, 'Vaterschaftsurlaub': 0.37, 'Kolumne': 0.57, 'bringts': 0.11, 'aufn': 0, 'Punkt': 0.13, 'aber': 0.13, 'so': 0, 'was': 0, 'von': 0}",positive,"[0.008326964, 0.013085694, 0.9785873]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Jawohl liebe Gesellschaft: Ein Vaterschaftsurlaub trägt auch zur besseren Vereinbarkeit von Beruf und Familie bei.  https://t.co/yfiH6IHPwp,jawohl lieb gesellschaft vaterschaftsurlaub tragen gut vereinbarkeit beruf familie,,,,"{'Jawohl': 0.6, 'liebe': 0, 'Gesellschaft': 0, 'Ein': 0.06, 'Vaterschaftsurlaub': 0.935, 'trägt': 0, 'auch': 0.54, 'zur': 0.11, 'besseren': 0.18, 'Vereinbarkeit': 0, 'von': 0, 'Beruf': 0, 'und': 0, 'Familie': 0, 'bei': 0}",positive,"[0.0010853999, 0.0010705894, 0.997844]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @comboeuf: Kein Vaterschaftsurlaub (Kosten 200 Mio) dafür Grundstücksteuer-Geschenk an die Bauern (400 Mio).
Was haben die geraucht heut…",vaterschaftsurlaub kosten mio dafür grundstücksteuer geschenk bauern mio rauchen heut,,,,"{'Kein': 1.0, 'Vaterschaftsurlaub': 0.85, 'Kosten': 0.35, 'Mio': 0, 'dafür': 0, 'Grundstücksteuer-Geschenk': 0.095, 'an': 0, 'die': 0.04, 'Bauern': 0.05, 'Was': 0, 'haben': 0.1, 'geraucht': 0, 'heut': 0.15, '…': 0}",negative,"[0.3827615, 0.59719115, 0.020047309]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Es geht vorwärts! #lohngleichheit https://t.co/7s8RrG4eey,gehen vorwärts lohngleichheit,,,,,,,"{'Es': 0, 'geht': 0.32, 'vorwärts': 0.44, 'lohngleichheit': 0}",positive,"[0.0098296655, 0.0044165924, 0.9857538]",,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @EBG_BFEG_UFU: Lohngleichheit analysieren – einfach und sicher mit #Logib, dem Standard-Analyse-Tool des Bundes. Neu als Webtool: https:…",lohngleichheit analysieren einfach sichern logib standard analyse tool bundes neu webtool https,,,,,,,"{'Lohngleichheit': 0.89, 'analysieren': 1.0, '–': 0, 'einfach': 0, 'und': 0, 'sicher': 0, 'mit': 0, 'Logib': 0, 'dem': 0, 'Standard-Analyse-Tool': 0, 'des': 0, 'Bundes': 0, 'Neu': 0, 'als': 0, 'Webtool': 0, 'https': 0, '…': 0}",positive,"[0.28894734, 0.005320328, 0.7057323]",,,,positive
