answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @FDPAarau: Wie viel das neue Kinderbetreuungsreglement kosten wird, ist ungewiss. Darum wollen wir die Summe der #Subventionen begrenzen…",neue kinderbetreuungsreglement kosten ungewiss darum summe subventionen begrenzen,"{'Wie': 0, 'viel': 0, 'das': 0.02, 'neue': 1.0, 'Kinderbetreuungsreglement': 0.9, 'kosten': 0, 'wird': 0.26, 'ist': 0.1, 'ungewiss': 0.14, 'Darum': 0, 'wollen': 0.04, 'wir': 0, 'die': 0.05, 'Summe': 0, 'der': 0.05, 'Subventionen': 0.04, 'begrenzen': 0.11, '…': 0}",neutral,"[0.45956334, 0.44319665, 0.097240075]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @andrisilbi_: Die Angleichung des Rentenalters ergibt Sinn #AHV21. Die langfristigen Herausforderungen in der Finanzierung der AHV bleib…,angleichung rentenalters ergeben sinn ahv21 langfristig herausforderungen finanzierung ahv bleib,,,,"{'Die': 0.12, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.755, 'ergibt': 0, 'Sinn': 0, 'AHV21.': 0, 'langfristigen': 0, 'Herausforderungen': 0.43, 'in': 0.09, 'der': 0.12, 'Finanzierung': 0.7, 'AHV': 0.17, 'bleib': 0, '…': 0}",positive,"[0.09056109, 0.028906077, 0.8805328]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @themattmueller_: Altersvorsorge muss nachhaltig reformiert werden. Es braucht lfr. Änderungen, wie etwa Anpassung des Rentenalters an L…",altersvorsorge nachhaltig reformieren brauchen lfr änderungen etwa anpassung rentenalters l,,,,"{'Altersvorsorge': 0.555, 'muss': 0.94, 'nachhaltig': 0, 'reformiert': 0.21, 'werden': 0, 'Es': 0, 'braucht': 0, 'lfr': 0.14, 'Änderungen': 0.64, 'wie': 0, 'etwa': 0, 'Anpassung': 0, 'des': 0, 'Rentenalters': 0.895, 'an': 0, 'L': 0.17, '…': 0}",neutral,"[0.6580796, 0.045515936, 0.29640445]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Die Diskussion übers #Rentenalter darf kein Tabu sein - die @spschweiz ist realitätsfern. Die Volksinitiative der @Jungf…,diskussion übers rentenalter dürfen tabu realitätsfern volksinitiative,,,,"{'Die': 0.12, 'Diskussion': 0.49, 'übers': 0, 'Rentenalter': 0.905, 'darf': 0, 'kein': 0, 'Tabu': 0, 'sein': 0, 'die': 0.12, 'ist': 0, 'realitätsfern': 0.44, 'Volksinitiative': 0.195, 'der': 0.12, '…': 0}",positive,"[0.16071719, 0.015510595, 0.8237722]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"""Mit der #AHV21 (Vorschlag Bundesrats) wird nur schon die politische Diskussion über das Unvermeidliche – die Anpassung des Rentenalters an die wachsende Lebenserwartung – auf die unbestimmte Zukunft verschoben."" @Jungfreisinnige fordern eine schrittweise Erhöhung des #AHV-Alters https://t.co/nphBYH047o",ahv21 vorschlag bundesrats schon politische diskussion unvermeidlich anpassung rentenalters wachsend lebenserwartung unbestimmt zukunft verschieben fordern schrittweise erhöhung ahv alters,,,,"{'Mit': 0.05, 'der': 0.13, 'AHV21': 0.19, 'Vorschlag': 0.18, 'Bundesrats': 0.09, 'wird': 0, 'nur': 0, 'schon': 0, 'die': 0, 'politische': 0.3, 'Diskussion': 0.2, 'über': 0, 'das': 0, 'Unvermeidliche': 0.51, '–': 0, 'Anpassung': 0, 'des': 0, 'Rentenalters': 0, 'an': 0, 'wachsende': 0, 'Lebenserwartung': 0, 'auf': 0, 'unbestimmte': 0, 'Zukunft': 0, 'verschoben': 0, 'fordern': 0, 'eine': 0, 'schrittweise': 0, 'Erhöhung': 0, 'AHV-Alters': 0}",positive,"[0.3512737, 0.08295225, 0.565774]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Die @Jungfreisinnige haben klar entschieden; wir lancieren eine #Renteninitiative .
Mit der Erhöhung des Rentenalters auf 66 plus Anbindung an die Lebenserwartung wollen wir unsere #Altersvorsorge strukturell sichern!

#UnsereZukunft #kongress #jf #jungfreisinnig https://t.co/K1FlpHnYIA",klaren entscheiden lancieren renteninitiative erhöhung rentenalters plus anbindung lebenserwartung altersvorsorge strukturell sichern unserezukunft kongress jf jungfreisinnig,,,,"{'Die': 0.29, 'haben': 0.06, 'klar': 0.05, 'entschieden': 0, 'wir': 0, 'lancieren': 0, 'eine': 0, 'Renteninitiative': 0.165, 'Mit': 0, 'der': 0.29, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.28500000000000003, 'auf': 0, 'plus': 0.07, 'Anbindung': 0, 'an': 0, 'die': 0.29, 'Lebenserwartung': 0.11499999999999999, 'wollen': 0.08, 'unsere': 0.04, 'Altersvorsorge': 0.04, 'strukturell': 0.07, 'sichern': 0.06, 'UnsereZukunft': 0.04, 'kongress': 0.03, 'jf': 0, 'jungfreisinnig': 0}",positive,"[0.085673526, 0.014699664, 0.8996268]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die @fdp_ag beschliesst heute Stimmfreigabe beim #Vaterschaftsurlaub. Danke @MajaRiniker, @SuzanneMarclay und @JauslinMatthias für die positiven Voten für zwei Wochen @papizeit  @FDP_Liberalen - Wir bleiben dran! https://t.co/IehjioLXKx",beschliesst heute stimmfreigabe beim vaterschaftsurlaub danke positiv voten zwei wochen bleiben dran,,,,,,,"{'Die': 0.08, 'beschliesst': 0.15, 'heute': 0.16, 'Stimmfreigabe': 0, 'beim': 0.08, 'Vaterschaftsurlaub': 0.72, 'Danke': 0.14, 'und': 0.09, 'für': 0.04, 'die': 0.08, 'positiven': 0.14, 'Voten': 0.37, 'zwei': 0.04, 'Wochen': 0.05, 'Wir': 0.05, 'bleiben': 0, 'dran': 0}",positive,"[0.028638294, 0.0029912584, 0.9683705]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@PhTschopp @ChristinaBRoth @lohnabzuegeNein Gerade deswegen sehen wir die Notwendigkeit unseres Komitees. Nicht alle Unternehmer sind gegen den #Vaterschaftsurlaub. Wir sehen die Vorteile gerade für KMU und unterstützen deshalb den längst überfälligen Vaterschaftsurlaub.  @papizeit,gerade deswegen sehen notwendigkeit komitees all unternehmer vaterschaftsurlaub sehen vorteile gerade kmu unterstützen deshalb längst überfällig vaterschaftsurlaub,,,,,,,"{'Gerade': 0, 'deswegen': 0, 'sehen': 0.1, 'wir': 0, 'die': 0.09, 'Notwendigkeit': 0.06, 'unseres': 0, 'Komitees': 0, 'Nicht': 0.38, 'alle': 0, 'Unternehmer': 0, 'sind': 0.15, 'gegen': 0.66, 'den': 0.09, 'Vaterschaftsurlaub': 0.16499999999999998, 'Wir': 0.11, 'Vorteile': 0, 'gerade': 0, 'für': 0.04, 'KMU': 0, 'und': 0.06, 'unterstützen': 0.24, 'deshalb': 0.04, 'längst': 0.04, 'überfälligen': 0.1}",positive,"[0.010485817, 0.0024178557, 0.9870963]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@Jungfreisinnige sagen leider mit 90:54 am a.o. Kongress #Nein zur Vorlage zum #Vaterschaftsurlaub (@papizeit). Am 27. Sep haben wir die Chance, in der CH die #Vereinbarkeit von Familie und Beruf massgebend zu fördern. Sagen wir JA zur modernen #Familienpolitik! @adrianwuethrich https://t.co/mxb5V469Ba",sagen leider a o kongress nein vorlage vaterschaftsurlaub sep chance ch vereinbarkeit familie beruf massgebend fördern sagen ja modern familienpolitik,,,,,,,"{'sagen': 0.03, 'leider': 0.09, 'mit': 0.06, '90:54': 0, 'am': 0.04, 'a.o': 0.03, 'Kongress': 0.06, 'Nein': 0.1, 'zur': 0.03, 'Vorlage': 0.32, 'zum': 0.03, 'Vaterschaftsurlaub': 0.7, 'Am': 0.04, '27.': 0, 'Sep': 0.04, 'haben': 0.03, 'wir': 0, 'die': 0.03, 'Chance': 0.05, 'in': 0.03, 'der': 0.03, 'CH': 0, 'Vereinbarkeit': 0.04, 'von': 0, 'Familie': 0.03, 'und': 0.03, 'Beruf': 0, 'massgebend': 0, 'zu': 0.03, 'fördern': 0, 'Sagen': 0.03, 'JA': 0.03, 'modernen': 0.04, 'Familienpolitik': 0.03}",positive,"[0.0073227426, 0.0039795884, 0.98869765]",,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,RT @beniboehler: Passend zur Kolumne von @YannickBerner in der AZ: «Die @FDPAarau engagiert sich für eine umfassende Digitalisierung der Ve…,passen kolumne az engagieren umfassend digitalisierung ve,,,,,,,,,,"{'Passend': 0, 'zur': 0.25, 'Kolumne': 0.04, 'von': 0, 'in': 0.02, 'der': 0, 'AZ': 0.31, '«': 0, 'Die': 0, 'engagiert': 0, 'sich': 0, 'für': 0, 'eine': 0, 'umfassende': 0, 'Digitalisierung': 0, 'Ve': 0, '…': 0}",positive,"[0.0019513061, 0.0011456137, 0.996903]",,,,negative
