answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,negative,"Wieso wird eigentlich nicht im Asylrecht eine Anpassung an den EU – Standard gefordert?
- tagesanzeiger.ch http://t.co/nFgwrCLw",wieso eigentlich asylrecht anpassung eu standard fordern tagesanzeiger ch,"{'Wieso': 0, 'wird': 0, 'eigentlich': 0.06, 'nicht': 0.06, 'im': 0, 'Asylrecht': 0.11, 'eine': 0, 'Anpassung': 0.14, 'an': 0.06, 'den': 0.05, 'EU': 0, '–': 0, 'Standard': 0, 'gefordert': 0, 'tagesanzeiger.ch': 0}",neutral,"[0.6336979, 0.023592338, 0.3427097]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Kanton Solothurn kämpft gegen Einbürgerung http://t.co/xx6O3mcF8k http://t.co/TBtJCazxQN,kanton solothurn kämpfen einbürgerung,,,,"{'Kanton': 0.08, 'Solothurn': 0.17, 'kämpft': 0, 'gegen': 1.0, 'Einbürgerung': 0.88}",neutral,"[0.76923716, 0.105123855, 0.12563905]",,,,,,,neutral
25.0,0.0,14.0,-0.5,negative,Mehr Rechte für abgewiesene Einbürgerungswillige - Schweiz: Standard - tagesanzeiger.ch http://t.co/TFL5aalQ,mehr rechte abgewiesen einbürgerungswillige schweiz standard tagesanzeiger ch,,,,"{'Mehr': 0.33, 'Rechte': 0, 'für': 0.83, 'abgewiesene': 0, 'Einbürgerungswillige': 1.0, 'Schweiz': 0.11, 'Standard': 0.11, 'tagesanzeiger.ch': 0}",negative,"[0.006202554, 0.9882328, 0.0055646757]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Mindestlohn: Weshalb 22 Franken pro Stunde und 4000 Franken pro Monat nicht dasselbe sind http://t.co/U3AAGdtmiV,mindestlohn weshalb franken pro stunden franken pro monat,,,,,,,"{'Mindestlohn': 0.225, 'Weshalb': 0, 'Franken': 0, 'pro': 0, 'Stunde': 0, 'und': 0.19, 'Monat': 0.11, 'nicht': 0.29, 'dasselbe': 0.115, 'sind': 0.2}",negative,"[0.37344688, 0.6038491, 0.022704033]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Wie der Mindestlohn aufs Portemonnaie durchschlägt http://t.co/HdvuupkjWp via @tagesanzeiger,mindestlohn aufs portemonnaie durchschlagen via,,,,,,,"{'Wie': 0, 'der': 0.1, 'Mindestlohn': 0.28500000000000003, 'aufs': 0, 'Portemonnaie': 0.18, 'durchschlägt': 0, 'via': 0.4}",neutral,"[0.9293763, 0.017121136, 0.05350265]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Kommt der Mindestlohn, steht im Mendrisiotto alles still http://t.co/NGVZynCkpI",kommen mindestlohn stehen mendrisiotto stillen,,,,,,,"{'Kommt': 0.39, 'der': 0.39, 'Mindestlohn': 0.6799999999999999, 'steht': 0, 'im': 0, 'Mendrisiotto': 0.21, 'alles': 0.24, 'still': 0}",neutral,"[0.78771406, 0.04818801, 0.16409792]",,,,neutral
50.0,75.0,57.0,0.0,neutral,#Digitalisierung einer Bank at its best! Nach einer simplen Produktauskunft gefragt und diese Antwort erhalten. #digitalbanking #DigitalTransformation https://t.co/cXhLuncoYq,digitalisierung bank at its best simpel produktauskunft fragen antwort erhalten digitalbanking digitaltransformation,,,,,,,,,,"{'Digitalisierung': 0, 'einer': 0, 'Bank': 0.11, 'at': 0.3, 'its': 0.19, 'best': 0.96, 'Nach': 0, 'simplen': 0.07, 'Produktauskunft': 0.065, 'gefragt': 0.16, 'und': 0.09, 'diese': 0.11, 'Antwort': 0, 'erhalten': 0, 'digitalbanking': 0.16, 'DigitalTransformation': 0.3}",positive,"[0.016547779, 0.003444163, 0.980008]",neutral
50.0,75.0,57.0,0.0,negative,"Veraltete Software, fehlende Infrastruktur: Der Digitalisierungsrückstand bei der Rente ist immens https://t.co/wT9Ccecjw8",veralten software fehlend infrastruktur digitalisierungsrückstand rente immens,,,,,,,,,,"{'Veraltete': 0, 'Software': 0.2, 'fehlende': 0, 'Infrastruktur': 0.17, 'Der': 1.0, 'Digitalisierungsrückstand': 0.825, 'bei': 0, 'der': 1.0, 'Rente': 0, 'ist': 0.39, 'immens': 0}",negative,"[0.003164401, 0.9446256, 0.052210018]",neutral
100.0,100.0,100.0,1.0,negative,Warum die Gute-Laune-Digitalisierung eine Farce ist: Macht den Leuten nichts vor! https://t.co/UH9bi5qVAA via @manager_magazin,warum gut laune digitalisierung farce leuten via,,,,,,,,,,"{'Warum': 0.17, 'die': 0.21, 'Gute-Laune-Digitalisierung': 0.61, 'eine': 0, 'Farce': 0.17, 'ist': 0.21, 'Macht': 0, 'den': 0.21, 'Leuten': 0.09, 'nichts': 0, 'vor': 0, 'via': 0.12}",positive,"[0.006281865, 0.014379524, 0.9793386]",positive
100.0,100.0,100.0,0.9,neutral,"Ich wünsche allen einen schönen Schweizer #Digitaltag, Grüsse aus der Ferne. 
Die örtliche Ungebundenheit ist für mich einer der grossen Vorteile der #Digitalisierung. Was gefällt euch am besten an der Digitalisierung?
 #SwissDigitalDay https://t.co/eEPAXuam5f",wünsche schön schweizer digitaltag grüsse fern örtlich ungebundenheit grossen vorteile digitalisierung gefallen gut digitalisierung swissdigitalday,,,,,,,,,,"{'Ich': 0.02, 'wünsche': 0, 'allen': 0, 'einen': 0.02, 'schönen': 0, 'Schweizer': 0.04, 'Digitaltag': 0.045, 'Grüsse': 0, 'aus': 0, 'der': 0.16, 'Ferne': 0, 'Die': 0.16, 'örtliche': 0.06, 'Ungebundenheit': 0, 'ist': 0.09, 'für': 0.26, 'mich': 0.15, 'einer': 0.09, 'grossen': 0, 'Vorteile': 0, 'Digitalisierung': 0, 'Was': 0, 'gefällt': 0.06, 'euch': 0.03, 'am': 0, 'besten': 0.11, 'an': 0, 'SwissDigitalDay': 0.27}",positive,"[0.0030399018, 0.0015021728, 0.9954579]",positive
